,abbreviation,full_name,nick_name,conference,division,city_state_region,season,venue
2,WAS,Washington Redskins,Redskins,NFC,NFC_EAST,Washington,2015,
3,TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC_SOUTH,Tampa Bay,2015,
4,SEA,Seattle Seahawks,Seahawks,NFC,NFC_WEST,Seattle,2015,
5,SF,San Francisco 49ers,49ers,NFC,NFC_WEST,San Francisco,2015,
6,LAC,San Diego Chargers,Chargers,AFC,AFC_WEST,San Diego,2015,
7,PIT,Pittsburgh Steelers,Steelers,AFC,AFC_NORTH,Pittsburgh,2015,
8,ARI,Arizona Cardinals,Cardinals,NFC,NFC_WEST,Arizona,2015,
9,PHI,Philadelphia Eagles,Eagles,NFC,NFC_EAST,Philadelphia,2015,
10,NYJ,New York Jets,Jets,AFC,AFC_EAST,New York Jets,2015,
11,NYG,New York Giants,Giants,NFC,NFC_EAST,New York Giants,2015,
12,NO,New Orleans Saints,Saints,NFC,NFC_SOUTH,New Orleans,2015,
13,NE,New England Patriots,Patriots,AFC,AFC_EAST,New England,2015,
14,MIN,Minnesota Vikings,Vikings,NFC,NFC_NORTH,Minnesota,2015,
15,MIA,Miami Dolphins,Dolphins,AFC,AFC_EAST,Miami,2015,
16,LV,Oakland Raiders,Raiders,AFC,AFC_WEST,Oakland,2015,
17,LA,St. Louis Rams,Rams,NFC,NFC_WEST,St. Louis,2015,
18,KC,Kansas City Chiefs,Chiefs,AFC,AFC_WEST,Kansas City,2015,
19,JAX,Jacksonville Jaguars,Jaguars,AFC,AFC_SOUTH,Jacksonville,2015,
20,IND,Indianapolis Colts,Colts,AFC,AFC_SOUTH,Indianapolis,2015,
21,HOU,Houston Texans,Texans,AFC,AFC_SOUTH,Houston,2015,
22,TEN,Tennessee Titans,Titans,AFC,AFC_SOUTH,Tennessee,2015,
23,GB,Green Bay Packers,Packers,NFC,NFC_NORTH,Green Bay,2015,
24,DET,Detroit Lions,Lions,NFC,NFC_NORTH,Detroit,2015,
25,DEN,Denver Broncos,Broncos,AFC,AFC_WEST,Denver,2015,
26,DAL,Dallas Cowboys,Cowboys,NFC,NFC_EAST,Dallas,2015,
27,CLE,Cleveland Browns,Browns,AFC,AFC_NORTH,Cleveland,2015,
28,CIN,Cincinnati Bengals,Bengals,AFC,AFC_NORTH,Cincinnati,2015,
29,CHI,Chicago Bears,Bears,NFC,NFC_NORTH,Chicago,2015,
30,CAR,Carolina Panthers,Panthers,NFC,NFC_SOUTH,Carolina,2015,
31,BUF,Buffalo Bills,Bills,AFC,AFC_EAST,Buffalo,2015,
32,BAL,Baltimore Ravens,Ravens,AFC,AFC_NORTH,Baltimore,2015,
33,ATL,Atlanta Falcons,Falcons,NFC,NFC_SOUTH,Atlanta,2015,
